"TIA","Albania","AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/",1,4.18233,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Please note that the only card BP accept is their own Sterling Card therefor please pre-arrange fuel.///VAT applies for domestic flights. Able to access the military apron","15-JAN-2019"
"421","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.65499,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies for Domestic Flights. The WFS invoice will state 'Third Party charges' this relates to VAT charged by our supplier. As WFS is not registered this cost is passed on and is non-refundable BH 18th April 2017","11-JAN-2019"
"421","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.55499,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies for Domestic Flights. The WFS invoice will state 'Third Party charges' this relates to VAT charged by our supplier. As WFS is not registered this cost is passed on and is non-refundable BH 18th April 2017","11-JAN-2019"
"717","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.73069,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","'48 BUSINESS HOURS ADVANCE NOTICE REQUIRED' The WFS invoice will state 'Third party charges' this relates to the VAT of 19% charged to WFS by our supplier. As WFS is not registered in Algeria this cost is passed on and is non-refundable BH 18th April 2017","11-JAN-2019"
"717","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.63069,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","'48 BUSINESS HOURS ADVANCE NOTICE REQUIRED' The WFS invoice will state 'Third party charges' this relates to the VAT of 19% charged to WFS by our supplier. As WFS is not registered in Algeria this cost is passed on and is non-refundable BH 18th April 2017","11-JAN-2019"
"896","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.65499,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","The WFS invoice will state 'Third party charges' this relates to the VAT of 19% charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable.","11-JAN-2019"
"896","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.55499,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","The WFS invoice will state 'Third party charges' this relates to the VAT of 19% charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable.","11-JAN-2019"
"AAE","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.68889,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.Additional taxes/fees: .0110 Airport Tax on all fuelings; 19% VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % from the 01st January 2017 BH 18th April 2017.","11-JAN-2019"
"AAE","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.58889,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.Additional taxes/fees: .0110 Airport Tax on all fuelings; 19% VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % from the 01st January 2017 BH 18th April 2017.","11-JAN-2019"
"ALG","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.67489,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % from the 01st January 2017 BH 18th April 2017","11-JAN-2019"
"ALG","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.57489,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % from the 01st January 2017 BH 18th April 2017","11-JAN-2019"
