TIA,Albania,AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/,1,4.3068,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:Fuel Release - minimum 24 hours in advance 2) Operating Hours: OPS: 03:00 - 21:00 / Out of hours fuelling available - 24 Hours notice required 3) Ramps serviced:Can fuel on military apron 4) Additional Information: VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jan-19
421,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.92189,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jan-19
421,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.82189,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
717,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.99759,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE REQUIRED Additional Comments: The WFS invoice will state 'Third party charges' this relates to the VAT of 19% charged to WFS by our supplier. As WFS is not registered in Algeria this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
717,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.89759,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE REQUIRED Additional Comments: The WFS invoice will state 'Third party charges' this relates to the VAT of 19% charged to WFS by our supplier. As WFS is not registered in Algeria this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
896,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.92189,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",The WFS invoice will state 'Third party charges' this relates to the VAT of 19% charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable.,21-Jul-19
896,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.82189,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",The WFS invoice will state 'Third party charges' this relates to the VAT of 19% charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable.,21-Jul-19
AAE,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.95579,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Minimum Notice Required:72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. Additional Comments: VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
AAE,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.85579,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Minimum Notice Required:72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. Additional Comments: VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
ALG,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.94179,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",3) Additional Comments: VAT applies on domestic flightsThe WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
ALG,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.84179,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",3) Additional Comments: VAT applies on domestic flightsThe WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
AZR,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.42079,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: Operating hours 0700am to 1900pm The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
AZR,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.32079,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: Operating hours 0700am to 1900pm The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
BJA,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.20579,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:0700am to 1900pm 2) Additional Comments: Additional taxes/fees: Airport Tax on all fuelings. +VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
BJA,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.10579,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:0700am to 1900pm 2) Additional Comments: Additional taxes/fees: Airport Tax on all fuelings. +VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
BLJ,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.94079,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
BLJ,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.84079,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
BMW,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.35719,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: 72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
BMW,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.25719,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: 72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
BSK,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.11259,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
BSK,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.01259,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
CBH,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.16789,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable.,21-Jul-19
CBH,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.06789,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable.,21-Jul-19
CFK,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.99759,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,21-Jul-19
CFK,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.89759,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,21-Jul-19
