Location,Airport,1,2,3,4,5,6,7,8,9,10,11,12
Albania,TIA,4.18233,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,421,2.65499,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,717,2.73069,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,896,2.65499,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,AAE,2.68889,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,ALG,2.67489,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,AZR,3.15389,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,BJA,2.93889,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,BLJ,2.67389,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,BMW,3.09029,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,BSK,2.84569,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,CBH,2.90099,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,CFK,2.73069,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,CZL,2.86999,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,DJG,3.30529,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,EBH,2.90099,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,ELG,2.78749,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,ELU,2.73069,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,GHA,2.73069,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,HME,2.69279,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,HRM,2.74959,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,IAM,2.78749,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,INZ,2.97349,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,LOO,2.74959,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,MZW,2.90099,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,ORN,2.81999,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,QFD,2.80309,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,QSF,2.67389,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,TEE,2.67389,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,TID,2.73069,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Algeria,TIN,2.99169,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
