Title,"Image Link",Type,Seats,Speed,Range,"Price Per Hour"
D-Jet,//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/D-Jet-PrivateFly-AA9435.jpg,LightJets,3,"250 kts","1300 nm",1700
"Cessna 510 Mustang",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-510-Mustang-PrivateFly-AA9429.jpg,LightJets,4,"330 kts","1050 nm",2000
"Cessna C550 Citation II / IISP / S",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C550-Citation-II-IISP-S-PrivateFly-AB1077.jpg,LightJets,7,"335 kts","1739 nm",1801
"Cessna Citation I",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-Citation-I-PrivateFly-AB1032.jpg,LightJets,6,"348 kts","1000 nm",1550
"Cessna C550 Citation Bravo",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C550-Citation-Bravo-PrivateFly-AA9987.jpg,LightJets,7,"350 kts","1780 nm",2093
"Cessna C560 Citation V",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C560-Citation-V-PrivateFly-AB1027.jpg,LightJets,7,"370 kts","1920 nm",2502
"Eclipse 500",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Eclipse-500-PrivateFly-AB1009.jpg,LightJets,4,"375 kts","900 nm",2000
"Cessna C525 Citation",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C525-Citation-PrivateFly-AA9962.jpg,LightJets,5,"380 kts","1000 nm",1883
"Cessna C560 Citation Encore",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C560-Citation-Encore-PrivateFly-AA9998.jpg,LightJets,7,"380 kts","1700 nm",2700
"Embraer Phenom 100",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Embraer-Phenom-100-PrivateFly-AA9999.jpg,LightJets,4,"380 kts","1078 nm",2100
"Cessna C525 Citation CJ1",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C525-Citation-CJ1-PrivateFly-AB1072.jpg,LightJets,5,"381 kts","1050 nm",2047
"Cessna C525 Citation CJ2",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C525-Citation-CJ2-PrivateFly-AA9972.jpg,LightJets,6,"389 kts","1400 nm",2047
"Cessna C525 Citation CJ3",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C525-Citation-CJ3-PrivateFly-AA9977.jpg,LightJets,6,"389 kts","1488 nm",2138
"Beechjet 400",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Beechjet-400-PrivateFly-AA9957.jpg,LightJets,6,"392 kts","1400 nm",2326
"Sabreliner 40",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Sabreliner-40-PrivateFly-AB1042.jpg,LightJets,6,"400 kts","1200 nm",3000
"Falcon 10 / 100",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-10-100-PrivateFly-AA9947.jpg,LightJets,7,"404 kts","1600 nm",3600
"Cessna Citation M2",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-Citation-M2-PrivateFly-AB3133.jpg,LightJets,5,"404 kts","1580 nm",1850
"Cessna Citation CJ2+",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-Citation-CJ2%2B-PrivateFly-AB5833.jpg,LightJets,7,"404 kts","1781 nm",2045
"Learjet 24 / 25",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Learjet-24-25-PrivateFly-AB1014.jpg,LightJets,6,"418 kts","1430 nm",2500
"Learjet 31",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Learjet-31-PrivateFly-AB1019.jpg,LightJets,7,"418 kts","1455 nm",2047
"Learjet 35A",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Learjet-35A-PrivateFly-AB1046.jpg,LightJets,7,"418 kts","1900 nm",2718
"Learjet 36A",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Learjet-36A-PrivateFly-AB1096.jpg,LightJets,6,"418 kts","2000 nm",2700
"Hawker 400XP",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Hawker-400XP-PrivateFly-AB1087.jpg,LightJets,7,"420 kts","1400 nm",2830
"Beech 390 Premier 1",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Beech-390-Premier-1-PrivateFly-AB1066.jpg,LightJets,6,"420 kts","1200 nm",2051
"HondaJet HA-420",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/HondaJet-HA-420-PrivateFly-AB1091.jpg,LightJets,4,"420 kts","1180 nm",2007
"Citation Ultra",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Citation-Ultra-PrivateFly-AB1082.jpg,LightJets,7,"430 kts","1960 nm",2319
"Embraer Phenom 300",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Embraer-Phenom-300-PrivateFly-AB1004.jpg,LightJets,7,"450 kts","1800 nm",2350
"Cessna C525 Citation CJ4",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C525-Citation-CJ4-PrivateFly-AA9982.jpg,LightJets,7,"453 kts","2002 nm",2300
SJ30,//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/SJ30-PrivateFly-AB1049.jpg,LightJets,6,"455 kts","2300 nm",3100
"Nextant 400XT/XTi",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Nextant-400XT-PrivateFly-AB1051.jpg,LightJets,7,"471 kts","2003 nm",2350
Title,"Image Link",Type,Seats,Speed,Range,"Price Per Hour"
"Hawker 600",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Hawker-600-PrivateFly-AA9857.jpg,MediumJets,8,"400 kts","1090 nm",3000
"Hawker 700/750",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Hawker-700-PrivateFly-AA1235.jpg,MediumJets,8,"402 kts","1960 nm",3000
"Citation III",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Citation-III-PrivateFly-AA9880.jpg,MediumJets,8,"405 kts","1800 nm",2741
"Falcon 20 / 200",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-20-200-PrivateFly-AA9867.jpg,MediumJets,9,"405 kts","2310 nm",3400
"Citation VI",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C650-Citation-VI-PrivateFly-AA1264.jpg,MediumJets,8,"407 kts","1800 nm",3200
"Citation VII",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C650-Citation-VII-PrivateFly-AA1204.jpg,MediumJets,8,"410 kts","1700 nm",3442
"1124 Westwind",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/1124-Westwind-PrivateFly-AB1133.jpg,MediumJets,9,"415 kts","1800 nm",3500
"Citation XL",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Citation-XL-PrivateFly-AA9904.jpg,MediumJets,8,"420 kts","1800 nm",2684
